                    Column                                                                          Value                                                                                                                                                                                              Description
                 loan_amnt                                                                           5000                             The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value.
               funded_amnt                                                                           5000                                                                                                                                           The total amount committed to that loan at that point in time.
           funded_amnt_inv                                                                         4975.0                                                                                                                             The total amount committed by investors for that loan at that point in time.
                      term                                                                      36 months                                                                                                                     The number of payments on the loan. Values are in months and can be either 36 or 60.
                  int_rate                                                                         10.65%                                                                                                                                                                                Interest Rate on the loan
               installment                                                                         162.87                                                                                                                                         The monthly payment owed by the borrower if the loan originates.
                     grade                                                                              B                                                                                                                                                                                   LC assigned loan grade
                 sub_grade                                                                             B2                                                                                                                                                                                LC assigned loan subgrade
                emp_length                                                                      10+ years                                                                       Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. 
            home_ownership                                                                           RENT                                                                                      The home ownership status provided by the borrower during registration. Our values are: RENT, OWN, MORTGAGE, OTHER.
                annual_inc                                                                        24000.0                                                                                                                            The self-reported annual income provided by the borrower during registration.
       verification_status                                                                       Verified                                                                                                               Indicates if income was verified by LC, not verified, or if the income source was verified
                   issue_d                                                                         Dec-11                                                                                                                                                                      The month which the loan was funded
               loan_status                                                                     Fully Paid                                                                                                                                                                               Current status of the loan
                pymnt_plan                                                                              n                                                                                                                                           Indicates if a payment plan has been put in place for the loan
                      desc   Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>                                                                                                                                                                Loan description provided by the borrower
                   purpose                                                                    credit_card                                                                                                                                               A category provided by the borrower for the loan request. 
                     title                                                                       Computer                                                                                                                                                                  The loan title provided by the borrower
                  zip_code                                                                          860xx                                                                                                                    The first 3 numbers of the zip code provided by the borrower in the loan application.
                addr_state                                                                             AZ                                                                                                                                               The state provided by the borrower in the loan application
                       dti                                                                          27.65 A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income.
               delinq_2yrs                                                                              0                                                                                             The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years
          earliest_cr_line                                                                         Jan-85                                                                                                                                        The month the borrower's earliest reported credit line was opened
            inq_last_6mths                                                                              1                                                                                                                         The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
                  open_acc                                                                              3                                                                                                                                           The number of open credit lines in the borrower's credit file.
                   pub_rec                                                                              0                                                                                                                                                                      Number of derogatory public records
                 revol_bal                                                                          13648                                                                                                                                                                           Total credit revolving balance
                revol_util                                                                         83.70%                                                                               Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit.
                 total_acc                                                                              9                                                                                                                                 The total number of credit lines currently in the borrower's credit file
       initial_list_status                                                                              f                                                                                                                                       The initial listing status of the loan. Possible values are – W, F
        last_credit_pull_d                                                                         May-16                                                                                                                                                     The most recent month LC pulled credit for this loan
collections_12_mths_ex_med                                                                            0.0                                                                                                                                         Number of collections in 12 months excluding medical collections
               policy_code                                                                              1                                                                                                                      publicly available policy_code=1\nnew products not publicly available policy_code=2
          application_type                                                                     INDIVIDUAL                                                                                                     Indicates whether the loan is an individual application or a joint application with two co-borrowers
            acc_now_delinq                                                                              0                                                                                                                                          The number of accounts on which the borrower is now delinquent.
  chargeoff_within_12_mths                                                                            0.0                                                                                                                                                                   Number of charge-offs within 12 months
               delinq_amnt                                                                              0                                                                                                                       The past-due amount owed for the accounts on which the borrower is now delinquent.
      pub_rec_bankruptcies                                                                            0.0                                                                                                                                                                     Number of public record bankruptcies
                 tax_liens                                                                            0.0                                                                                                                                                                                      Number of tax liens
